title,description
"Customer Service Representative We are Seeking a candidate whose core values include integrity, compassion and responsibility, and is focused on building quality relationships with our clients. Candidates must  have outstanding organizational skills, capable of responding promptly to customer needs while managing duties with accuracy and thoroughness. Candidates must also be able to work from home with a minimal amount of supervision. Home Computer with Internet AccessBasic Computer SkillsA Headset Gary Cartwright established Cartwright Property Management in 2007 to help manage the HOAs that were created when his development company would develop a residential or multi-family community. He has developed numerous single-family, duplex, townhome and apartment communities. Gary is a General Contractor holding an Unlimited Building license and he is a licensed real estate agent in North Carolina. Gary is also a partner in a sister real estate company. His experience as a builder, developer, and real estate sales company owner will be beneficial in assisting his rental and HOA clients in managing their rentals and HOA communities.",1
"Software Engineer Making music is easier now than ever.Take out your phone. You will find an app to record, mix sound samples, or auto-tune your rap. Making music is not limited to the recording studio or classroom anymore. It happens all around us, every day. We are all musicians, in our own way.But what if you want to play with tunes atop the Billboard charts? Or learn your favorite Katy Perry song? Or jam on a Stevie Wonder classic?Enter Chromatik. We enable musicians - from pros to those playing their first notes - to learn, play, and share their favorite tunes. Our products are used by American Idol, Bruno Mars, the LAUSD, UCLA, and musicians around the globe. Must havesLoves building web productsStrong OOD/OOP and best practices backgroundExtensive experience on the server-side of webapps with JavaScript, Python, or RubyKnowledge of JavaScript's core concepts: asynchronous, inheritance, closures, etcExperience with HTML and CSSExperience with Git (or experience with other VCS systems and ability to learn Git quickly)Gets things done with a small team on aggressive deadlinesNice to havesExperience with #URL_968b3a839b798052f33a95a811f8b2366cd66f6bcc98f2885bea5ee47d000659#Experience with CoffeeScriptExprience builing RESTful web servicesExperience with MongoDBExperience maintaining apps in Cloud platforms like EC2 or HerokuWorking knowledge of *nix command lineExperience with #URL_b7bad8ac916069eadd573f035544c52dc3519a0ba054fb7ab1ff9ba3e1525399#, AngularJS, or other JS libraries/frameworks ",0
"Admin Assistant\Urgently The company is seeking an Admin assistant to join their team! As traineeship. Relevant on job training will be provided.  Position is Part- Time Start ASAP  Duties include:  Meet and greet clients  Preparing files  Receive phone calls  Receiving emails and reply emails from reception ( instructions will be given) The successful candidate will be able to demonstrate:-Excellent communication skills, Technical Contractual and Negotiating skills.-Knowledge of application software including Word, Excel and Outlook from the microsoft Office suite (2007).-Strong team based work ethic.-Thrives on challenges and is accountable.This job will be suitable for school leavers who are looking their career. If you are interested in applying for the position, please send resume with your full name and email to #EMAIL_bf7aada68f2ebd311c3cb873b1867e0c531121ccdc5392441c6cea7a5d852d06#  ",1
"Title/Escrow Closer Need a change? Looking for growth opportunity? Then give us a call!!This is who we are: Network Closing Services, Inc., a full service Title Company with headquarters in Orlando, Florida.  We are currently in a nationwide expansion.  Network Closing Services has been serving Lenders, Real Estate Consumers, and Professionals since 1999.  We provide courteous professional services, speedy title searches, and timely disbursements.  Dynamic flexibility is key to our success.  Our Client satisfaction is very important.  We provide experienced settlement officers and attorneys anywhere in the country, day or night, to perform a closing. Our staff is committed to providing our customers a level of service that is unparalleled in the title industry.  Today's competitive market requires more than dedication and experience. It requires proven expertise, irrepressible vision and tightly orchestrated teamwork. Network Closing Services incorporates these essential qualities into every facet of every service we offer. We successfully deliver innovative, high-volume, regional closing services.  We operate in an automated paperless environment – Faster ServiceWhat we need: An established Tile/Escrow Closer with a Book of Business (not mortgage)What you will do:Close residential purchase/sale transactions, in accordance with closing instructions from lender and sellerWork with our processing team to ensure steps are successfully completed such as: order title commitment, clear title, package docs  to to ensure recordings, HUD statements and funding transactions. Conduct closing with customers, realtors, lenders, and attorneysMaintain existing clients and establish new client relationships by constant marketing/sales activityEmmanuel Sanchez#PHONE_dc5cff94cbcc4ac18e1234a2e6521946ae7d722bdf66cfc1af3aeca9255aee0d##URL_1bdaa45fd1ec77ea7879abfceafd610ca4fa9b4eb30eb6fa5f39b9ffac8a8c5a#Seeking candidates in several Florida markets What you should know:Are you a top Closer in your market? Are you a go-getter and able to market for new business? Are you a dedicated customer service oriented Title Professional? If you answered yes to these questions then we want you!Experienced Title Settlement CloserMust have a client following/Book of Business and ability to MarketMust be accountable and must have the ability to change a process or method as needed.Ability to market our services.  Go out and see lot's of potential clients.Knowledge of RamQuest a plusNotary a plus or ability to pass a background check.                                     Independent/Mobil Closer's or Mortgage Closer's NOT being considered Network Closing Services has been serving Lenders, Real Estate Consumers, and Professionals since 1999.  We provide courteous professional services, speedy title searches, and timely disbursements.  Dynamic flexibility is key to our success.  Your satisfaction, as our client, is important.  We are here to assist you and ensure a efficient, cohesive transaction.  Our experienced settlement officers and attorneys will travel anywhere in the country, day or night, to perform a closing. Our staff is committed to providing our customers a level of service that is unparalleled in the title industry.  Today's competitive market requires more than dedication and experience. It requires proven expertise, irrepressible vision and tightly orchestrated teamwork. Network Closing Services incorporates these essential qualities into every facet of every service we offer. We successfully deliver innovative, high-volume, regional closing services.  For resume review, email to #EMAIL_bbbab0052922a3a922939af2180ff4d9f034ba04634bd573870818da62a0d151# or call Office: #PHONE_113b1bd5d3e5e087c3480c458e2ef299fd3a272612224463899e65ab2fe73995# x7141 Cell: #PHONE_c3853c0e034b798989b048d3a55a28d03177bfde5db40af1c435f6fa5a867868#",0
"Software Engineer | Forecasting & Optimization Software Engineer | Forecasting + Optimization | San Mateo, CALooking for a smart engineers to work on our next-generation data mining and forecasting platform. The role involves working with business analysts and research scientists  to build innovative forecasting and optimization solutions for online advertising; building models and algorithms to solve challenging problems such as estimating the click-through-rate of ads, estimating the cost of ad impressions, estimating the supply of different types of impressions, classifying web pages and web sites, improving online auctions, and so forth; and processing terabytes of data to extract insights using data mining, statistics, and machine learning techniques.Responsibilities:Work closely with Research scientist in building predictive models based on millions of ad transactions.Deploy statistical methods for finding structure in large data sets Design A/B tests to determine effectiveness of various strategies. Define complex SQL and other data extraction schemes to gather and filter needed data.Mining large (terabyte scale) data sets to obtain actionable business insights or to explain business patternsDevelop, train, educate others in Statistical Sciences and other technical disciplines in research and business on the use of data mining methods and tools. Desired Skills &amp; Experience:BS in Computer Science, Mathematics, Statistics, or related field Deep and broad knowledge of data mining methods and tools Able to reduce problem to mathematical/statistical questions/hypotheses that can be answered through data miningStrong ability in data modeling by using machine learning techniquesDatabase experience required Strong programming skills Teamwork and leadership skills Self-management skills with a focus on results for timely and accurate completion of competing deliverablesPrior experience in advertising industry is a plus Aptitude Staffing Solutions has redesigned the recruiting wheel. Our innovative new platform cuts the recruiting time in half, yields scientifically-proven results and clients and candidates enjoy a pleasant experience through advanced, simple to use technology and a tenured, industry-experienced recruiting team. Join us in a fresh new experience of leveraging your career...the way it should be! All represented candidates enjoy the following perks:Expert negotiations, maximizing total compensation package Signing bonus by Aptitude Staffing in addition to client signing bonus (if applicable)1 Year access to AnyPerkRelocation Services for out of town candidatesContinued education in your area of profession, seminars, workshops and other skill development events Contract employees receive quarterly bonuses for the duration of their project Direct-Hire employees receive double bonues ($2,000) per referred/recruited candidate into their newly appointed companyAll candidates are encouraged to participate in our Referral Bonus Program &amp; earn $500 - $1,000 per hired referral            ",1
"Data Entry We are looking for a flexible data entry person who is focused, fast and accurate. Sometimes we have lots of little projects that need to be worked on and maintained. And sometimes we only have the same project that you will have to work on for a while. So if you know you are not the kind of person who can do the same task for a few hours at a time, you probably shouldn't respond to this post.This position is mostly data entry--creating and maintaining company records in our database--but I may be reimagining it to also involve a little office-type work. So if you also have office/customer service experience (answering telephone calls--we have no in-house traffic), that would be a plus. YOU MUST HAVE• Prior data entry experience• The ability to work alone• Good comprehension and communication skills--we communicate A LOT via email and you must be able to follow written instructions• Experience with Excel and Word• Be very comfortable working with computer applications, navigating the internet and performing online research • Work ethicIf this sounds like you, please respond and tell me a little about yourself and why you think you'd be a good fit for this position. Also please attach a resume.Thank you. ",1
"  Discipline Manager Civil, Structural, Marine, Architectural Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.We are looking for individuals who are prepared to take a position. Not only a position within Aker Solutions, but also a position on the exciting challenges the global oil and gas industry faces now and in the futureAker Solutions Engineering &amp; Technology division based in Houston, Texas, require a Structural Divisional Manager to provide leadership, supervision, and guidance to discipline and engineers and designers.Responsibilities and tasksRESPONSIBILITES:- Oversee all CSMA aspects of project execution within AETL office- Provide leadership, supervision and guidance to discipline engineers and designers- Estimate,plan and manage discipline budget- Undertake technical peer reviews of projects- Review discipline staffing requirements and assign suitably qualified and experienced persons to projects as required- Recruit CSMA personnel and build the AETL CSMA team- Support training and development of staff- Conduct annual performance reviews of staff- Develop and maintain discipline corporate processes and procedures- Generate discipline man-hour estimates and CTRs for projects and bids- Provide input to proposals in the form of narratives and reviews- Provide discipline input to bid evaluations, review tender documents, prepare SOW documents and deliverables- Develop and maintain good working relationships with clients across Aker Solutions offices- Maintain active contact with professional institutions related to CSMA- Keep up-to-date with technical developments, National and International standards and legislative requirements related to discipline. EXPERIENCE: - Good awareness of construction,transportation and installation techniques used in the offshore oil and gas contracting industry- Extensive knowledge and experience in the analysis and design of fixed and mobile offshore oil and gas production facilities (12 years +desirable)- Sound knowledge of the relevant design codes for the design of offshore installations - API,NORSOK,DNV,Noble Denton, ISO 19900- Previous experience in managerial position desirableQualifications &amp; personal attributes- Degree qualified- Chartered engineer and member of relevant engineering institution (MICE,MIStructE) Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.",1
"IC&E Technician Mt Poso IC&amp;E Technician | Bakersfield, CA Mt. PosoPrincipal Duties and Responsibilities: Calibrates, tests, maintains, troubleshoots, and installs all power plant instrumentation, control systems and electrical equipment.Performs maintenance on motor control centers, motor operated valves, generators, excitation equipment and motors.Performs preventive, predictive and corrective maintenance on equipment, coordinating work with various team members.Designs and installs new equipment and/or system modifications.Troubleshoots and performs maintenance on DC backup power equipment, process controls, programmable logic controls (PLC), and emission monitoring equipment.Uses maintenance reporting system to record time and material use, problem identified and corrected, and further action required; provides complete history of maintenance on equipment.Schedule, coordinate, work with and monitor contractors on specific tasks, as required.Follows safe working practices at all times.Identifies safety hazards and recommends solutions.Follows environmental compliance work practices.Identifies environmental non-compliance problems and assist in implementing solutions.Assists other team members and works with all departments to support generating station in achieving their performance goals.Trains other team members in the areas of instrumentation, control, and electrical systems.Performs housekeeping assignments, as directed.Conduct equipment and system tagging according to company and plant rules and regulations.Perform equipment safety inspections, as required, and record results as appropriate. Participate in small construction projects.  Read and interpret drawings, sketches, prints, and specifications, as required.Orders parts as needed to affect maintenance and repair.Performs Operations tasks on an as-needed basis and other tasks as assigned.Available within a reasonable response time for emergency call-ins and overtime, plus provide acceptable off-hour contact by phone and company pager.          Excellent Verbal and Written Communications Skills:Ability to coordinate work activities with other team members on technical subjects across job families.Ability to work weekends, holidays, and rotating shifts, as required.   QualificationsKnowledge, Skills &amp; Abilities: A high school diploma or GED is required. Must have a valid driver’s license. Ability to read, write, and communicate effectively in English.  Good math skills. Four years of experience as an I&amp;C Technician and/or Electrician in a power plant environment, preferably with a strong electrical background, up to and including, voltages to 15 KV to provide the following:Demonstrated knowledge of electrical equipment, electronics, schematics, basics of chemistry and physics and controls and instrumentation.Demonstrated knowledge of safe work practices associated with a power plant environment.Demonstrated ability to calibrate I&amp;C systems and equipment, including analytic equipment.Demonstrated ability to configure and operate various test instruments and equipment, as necessary, to troubleshoot and repair plant equipment including, but not limited to, distributed control systems, programmable logic controllers, motor control centers, transformers, generators, and continuous emissions monitor (CEM) systems.Demonstrated ability to work with others in a team environment.                                                                                   Staffing &amp; Recruiting done right for the Oil &amp; Energy Industry!Represented candidates are automatically granted the following perks: Expert negotiations on your behalf, maximizing your compensation package and implimenting ongoing increases Significant signing bonus by Refined Resources (in addition to any potential signing bonuses our client companies offer)1 Year access to AnyPerk: significant corporate discounts on cell phones, event tickets, house cleaning and everything inbetween.  You'll save thousands on daily expenditures Professional Relocation Services for out of town candidates* All candidates are encouraged to participate in our Referral Bonus Program ranging anywhere from $500 - $1,000 for all successfully hired candidates... referred directly to the Refined Resources teamPlease submit referrals via online Referral FormThank you and we look forward to working with you soon!  [ Click to enlarge Image ]",1
"Sales Professional- SMB Division  - Maintain a high level of Clearmark solution expertise and competitive intelligence- Guide team members to identify decision makers amongst the targeted leads in order to initiate the sales process.- Provide compelling product demos via the phone along-side the dedicated Account Executive; emphasizing service features and benefits, discussing contract terms, quoting prices, and preparing sales orders- Work with individual Account Executives to develop sales plans in order to maximize revenues- Ensure that accurate and complete information is submitted in CRM- Provide regular updates to management regarding opportunities, trends and challenges- Lead sales team to meet and/or exceed monthly and quarterly quota objectives- Support Recruitment and Human Resource functions including: interviewing, hiring, and termination recommendations- Collaborate with Corporate Sales Trainer on employee development- Establish and maintain department procedures; provide feedback, make suggestions to management- Act as first line of contact for management involvement on high-profile issues- Maintain effective communication across key departments and senior leadership team- Represent yourself and Clearmark in a highly professional manner Job Requirements High School Diploma or GEDPass Drug ScreenClean Criminal History CheckOptional 6-12 months of sales experience   Making Mobile Device Management Clear is Clearmark Technologies mission.  Our team is made up of bright people who thrive on using technology to make a difference. We're friendly, ethical, and check our egos at the door. Most importantly, we want to grow together through support and mentorship. We offer a competitive salary package, benefits, paid time off, and a technology allowance. ",1
"Enterprise Sales Representative Conversocial is a fast-growing SaaS leader for Social Customer Service that that enables businesses to deliver customer service over social media at a large-scale. Deployed across contact centers for hundreds of major retailers, banks, telcos, and other brands; Conversocial enables them to manage the high volumes of service question, complaints and other issues through Facebook, Twitter and other Social channels. We are looking to grow the company's EMEA Sales Team to capitalize on the market demand for Conversocial and are looking for a highly-driven and self-motivated Enterprise Level Salesperson to join the team based in London. The ideal candidate will need a sales background in the following technologies: Customer Service and Support technologies, CRM/Help Desk, and broader enterprise applications. With experience of selling social customer care solutions a significant advantage.Your ability to clearly &amp; enthusiastically articulate our value proposition, demonstrate our solution at a high level, especially C Suite; manage time and work closely with our prospective clients to position Conversocial to best solve their social  customer service challenges, will be the key to our mutual success.  Responsibilities: Enthusiastically present the vision and value of the Conversocial social customer care solution remotely and in face-to-face meetings to C-level executivesMeet &amp; Exceed Quarterly and Annual quota targetsManage, Grow and Deliver sales from your qualified pipeline &amp; accurately track all activities in #URL_24cd44edb473365624a280f26f00a589336e1282f129bebf1f212762aad60ece#Report all Sales activities in a professional and timely mannerProactive Sales, Cold Calling and Prospecting into targeted territory to build pipeline for New BusinessLeverage your existing contacts &amp; relationships to build a pipelineProactive hands-on customer focused approach throughout the sales cyclePartner with Marketing to attend trade shows and participate in campaigns and actively work on these leads to identifying potential opportunities and New Business Character:Passionate about Software and a career in SalesCurious, Enthusiastic and DeterminedInsightful problem solvingSupportive &amp; helpfulSense of Ownership for results Experience:5 + years of relevant enterprise sales experience selling SaaS Software and technology business solutionsProven track-record of Solution Sales and / or Challenger Sale MethodologyConsistently and successfully attaining or exceeding sales goalsProven ability to establish and grow a territoryExcellent communication, influencing &amp; negotiation skillsGood knowledge of the market and customer service &amp; support environments &amp; technologiesProven Advanced Account Management skillsDemonstrate great attention to detailAbility to work well in a team environment Ability to pick up technology very quickly and be technically self sufficientBA or BSc  (or equivalent) As a growing and successful startup, Conversocial is a great place to work for ambitious individuals.We build a market leading social customer service solution, and we need even more great people to help us push that position even further. You’ll get the opportunity to work in an exciting new market, where we’re helping companies to understand the solution to their problems and are changing the way they interact with consumers.We have a trusting, hands-off management style, which is suited for people that are self-motivated.Our employees have the opportunity for independence and responsibility over their own projects, but we provide all the support and training they need to get there and to develop their careers.At Conversocial we like to balance work and play.We eat lunch together everyday (a company perk) and all enjoy a Friday treat of cake and few drinks. Our close-knit team is very sociable, which makes the Conversocial office a relaxed, fun and supportive working environment.",0
